model,query_song_id,query_title,query_artist,rec_song_id,title,artist,year,genre,rank,model_score,emotion_similarity,emotion_similarity_pct,year_gap
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,32e18fc19aebb1bdcea51b7e67df50c380141c30,Hello,Leroy Sanchez,2015,pop,1,0.9952250719070435,0.9990509152412415,99.90509152412415,0
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,c547f49dd9f5650851e113bcf4d1dcca9e507f97,Hello Marshmello Remix,Adele,2015,pop,2,0.9915228486061096,0.9968041181564331,99.68041181564331,0
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,557433277eca39bbf528c05c9a65bfb454f1cc27,Hello,Joe,2015,rb,3,0.9812387824058533,0.9953189492225647,99.53189492225647,0
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,ce7ebb84636cbb67da02fa9c0da0f22e3ddb0967,Hello Reggae Cover,Alaine,2015,pop,4,0.980900764465332,0.9953189492225647,99.53189492225647,0
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,f877cd9065ac98489df01258b7f5a9f30748de75,Hello,Dayseeker,2015,rock,5,0.9789090752601624,0.9911854267120361,99.11854267120361,0
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,7f648ad6501f9d95eff9f002913a918b1f0e3898,Hello,Stephen,2015,rock,6,0.967343270778656,0.9922111630439758,99.22111630439758,0
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,2f429fb6090283a17621070676268f2f529c65bc,Heartbeats,Tom Walker,2019,pop,7,0.899333119392395,0.9723444581031799,97.234445810318,4
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,1a6f33a49e7d21667cbf305c19160e5a5738d938,Whole Lives,Jake Scott,2018,pop,8,0.902360200881958,0.9867240786552429,98.67240786552429,3
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,8ed3f98fc6a058fee0f97dc2b989d63e1cc618de,Como,Bryce Bishop,2019,pop,9,0.8986824750900269,0.9846741557121277,98.46741557121277,4
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,649b056237b539229e75daf3a0b5ce3e8e3eddae,Monday,The Regrettes,2021,pop,10,0.8940863609313965,0.9887039065361023,98.87039065361023,6
