model,query_song_id,query_title,query_artist,rec_song_id,title,artist,year,genre,rank,model_score,emotion_similarity,emotion_similarity_pct,query_top_emotions,rec_top_emotions,year_gap
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,08187888ad0a5f7e412365c2e69f04c0d695ea08,Hello Remix,JG Trigga,2015,pop,1,0.9296568632125854,0.863834023475647,86.3834023475647,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_sadness=0.1321, ratio_fear=0.0943, ratio_joy=0.0943, ratio_trust=0.0943, ratio_anger=0.0566",0
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,7f648ad6501f9d95eff9f002913a918b1f0e3898,Hello,Stephen,2015,rock,2,0.9201837778091431,0.9830780029296875,98.30780029296875,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_joy=0.0882, ratio_trust=0.0882, ratio_sadness=0.0588, ratio_fear=0.0294, ratio_anger=0.0000",0
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,fd6e4f19667ef4f2fd12bc5a06aa8c33981da24c,Hello Remix,Rick Ross,2015,rap,3,0.9238437414169312,0.8481213450431824,84.81213450431824,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_joy=0.1324, ratio_fear=0.1029, ratio_sadness=0.1029, ratio_trust=0.1029, ratio_disgust=0.0735",0
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,37202c0b47a13eae2703cb3dbb0d61573a4345da,Hello,Bars and Melody,2016,pop,4,0.9225876331329346,0.878707766532898,87.8707766532898,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_joy=0.1290, ratio_sadness=0.1129, ratio_trust=0.0968, ratio_fear=0.0806, ratio_anger=0.0484",1
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,e542f0cb5b8e0a099c26b35c6c6184cfc718b710,Say Hello Wave Goodbye,Soft Cell,1981,pop,5,0.875961422920227,0.9321162700653076,93.21162700653076,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_sadness=0.0820, ratio_trust=0.0820, ratio_joy=0.0656, ratio_anger=0.0492, ratio_fear=0.0492",34
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,0c768eddb5d9372481d1783eef41d9d8c0e69166,Heartbreak Freestyle,Swanky Jay,2020,rap,6,0.8539313077926636,0.917975902557373,91.7975902557373,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_sadness=0.0923, ratio_trust=0.0769, ratio_joy=0.0615, ratio_disgust=0.0308, ratio_fear=0.0308",5
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,342819e9d4557be5d85790d17be23ba65f2e9a5d,Hello,YONAS,2015,rap,7,0.8597493767738342,0.7641739845275879,76.41739845275879,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_joy=0.0849, ratio_trust=0.0755, ratio_fear=0.0566, ratio_anger=0.0472, ratio_disgust=0.0094",0
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,7834381d506923b1d9ef730b91df187563161bc6,How To Be Alone,A.W.,2013,pop,8,0.8409885168075562,0.8873291611671448,88.73291611671448,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_joy=0.0577, ratio_trust=0.0577, ratio_anger=0.0385, ratio_fear=0.0385, ratio_disgust=0.0192",2
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,d4e45bd26db3dbff6eeb00bef03d3602b63d4f14,Hello Remix,Shaun Sloan,2016,rap,9,0.8750935792922974,0.8449476361274719,84.49476361274719,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_sadness=0.0918, ratio_joy=0.0816, ratio_anger=0.0714, ratio_trust=0.0714, ratio_fear=0.0510",1
proposed,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,c7b86d78edebf880d9a6201006a5a61354286702,Single,The Fall of Troy,2009,pop,10,0.8339346051216125,0.9351938366889954,93.51938366889954,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_trust=0.1622, ratio_joy=0.1351, ratio_disgust=0.0541, ratio_sadness=0.0541, ratio_anger=0.0000",6
