model,query_song_id,query_title,query_artist,rec_song_id,title,artist,year,genre,rank,model_score,emotion_similarity,emotion_similarity_pct,query_top_emotions,rec_top_emotions,year_gap
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,4ab7e5d91f600c2314cccf82e7f97df4bd106cc4,Mark My Hands,Lindy & The Circuit Riders,2019,pop,1,0.6834689378738403,0.7822989821434021,78.22989821434021,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_joy=0.4024, ratio_trust=0.3171, ratio_fear=0.0610, ratio_sadness=0.0366, ratio_anger=0.0244",4
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,3d6df4d2b6e3d4d48068caab7b44b206bb384221,Come to the Sabbat,Black Widow,1970,rock,2,0.6581097841262817,0.9088133573532104,90.88133573532104,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_trust=0.1500, ratio_joy=0.1000, ratio_sadness=0.0500, ratio_anger=0.0000, ratio_disgust=0.0000",45
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,b3086a6dbe6d3ab46a10952a15c3d2f6f61e51ea,Healing,Kryder,2022,pop,3,0.6536246538162231,0.865601122379303,86.5601122379303,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_joy=0.4043, ratio_trust=0.4043, ratio_fear=0.1489, ratio_sadness=0.1277, ratio_anger=0.0851",7
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,ef0b42f498f688bb3982a595d305cd9cd31f5856,No Other Name,Todd Dulaney,2015,pop,4,0.6392190456390381,0.7483305931091309,74.83305931091309,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_trust=0.7692, ratio_joy=0.6410, ratio_fear=0.1282, ratio_anger=0.1026, ratio_disgust=0.0000",0
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,d4a21b33a0161c2f7165a3497f170c03ed04f59b,Music Is The Answer,Joe Goddard,2017,pop,5,0.634027898311615,0.8311498165130615,83.11498165130615,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_joy=0.1685, ratio_sadness=0.1011, ratio_trust=0.0899, ratio_fear=0.0112, ratio_anger=0.0000",2
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,b2c348314cbd9ffcc025e4aed4998aeae07c43d9,Healing Lies,Bad Randoms,2022,rock,6,0.6312941312789917,0.7800158858299255,78.00158858299255,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_trust=0.4444, ratio_joy=0.2500, ratio_sadness=0.1944, ratio_disgust=0.0556, ratio_fear=0.0556",7
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,a44229f95c59b6e1338ea1ea64b6464b62b24562,Heal Our Land,Planetshakers,2012,pop,7,0.6253538727760315,0.7107367515563965,71.07367515563965,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_joy=0.5000, ratio_trust=0.4000, ratio_fear=0.2000, ratio_disgust=0.1500, ratio_sadness=0.1500",3
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,df1c5415eb29e9dd4a04b7d25a1bf53a2e83d90c,Open Page,Lenzman,2015,pop,8,0.5996524691581726,0.7715678811073303,77.15678811073303,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_joy=0.2222, ratio_anger=0.1481, ratio_fear=0.1481, ratio_trust=0.1481, ratio_sadness=0.0741",0
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,6ffa01fc311f49fcbc5428144157887ffe1a5421,Secret Touch,Rush,2002,rock,9,0.5960728526115417,0.9555234313011169,95.5523431301117,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_trust=0.1549, ratio_joy=0.1127, ratio_fear=0.0845, ratio_sadness=0.0704, ratio_anger=0.0141",13
baseline,5b3dd98d09e3741643ef575f3a52b5d58bf1bd0b,Hello,Adele,8f2aa6aee8f55abd2b96eeda9291b3133c8281cd,Angels,Sam Baker,2004,pop,10,0.5880873203277588,0.7058942317962646,70.58942317962646,"ratio_trust=0.1026, ratio_joy=0.0769, ratio_sadness=0.0513, ratio_fear=0.0256, ratio_anger=0.0000","ratio_joy=0.3472, ratio_trust=0.2500, ratio_sadness=0.1806, ratio_fear=0.1250, ratio_disgust=0.0972",11
