metric,k,mean,std,n
recall,5,1.4895082002694554e-05,2.7536854592125204e-05,300
ndcg,5,0.2392993464263473,0.25545387041777123,300
ec,5,0.9889002599846494,0.09939513629868367,300
ild,5,0.009655429080761278,0.07183847083218974,300
recall,10,2.931879761963397e-05,5.0246040412034545e-05,300
ndcg,10,0.2366549308558199,0.23625354647673752,300
ec,10,0.9886219298709519,0.099369184479997,300
ild,10,0.008122727075936607,0.0527164883513159,300
recall,20,5.559091987480917e-05,5.9690978153762184e-05,300
ndcg,20,0.23699885414518584,0.22235546631254438,300
ec,20,0.9881773604970031,0.09932875810147596,300
ild,20,0.007990057893739874,0.04419272989475372,300
