metric,k,mean,std,n
recall,5,1.4881556443711927e-05,3.030435994925972e-05,1200
ndcg,5,0.2562927862718903,0.27655666272925084,1200
ec,5,0.9939830676204126,0.07047168518993559,1200
ild,5,0.006132984746698484,0.05489995159106204,1200
recall,10,2.8928672316383167e-05,4.354840271589135e-05,1200
ndcg,10,0.2555523458492089,0.24911145736846932,1200
ec,10,0.9937081560727368,0.07045578205569338,1200
ild,10,0.005720065654987299,0.043706610870618064,1200
recall,20,5.663980275451693e-05,6.002208209876303e-05,1200
ndcg,20,0.25511468232166085,0.23386851958245544,1200
ec,20,0.9932784706216871,0.07043358815702029,1200
ild,20,0.0058006959535776125,0.03492754679842061,1200
