query_index,query_song_id,rec_index,rec_song_id,rank,score,query_title,rec_title,query_artist,rec_artist,query_year,rec_year,query_genre,rec_genre
70108,e77b390101fe12212155793e5ae19c9210ace3c5,414242,18ddc529e5702b7c36d9d355a4e2064e4b7a161f,1,0.9993620415062962,The General Lee,Ironic,Johnny Cash,Avril Lavigne,1981,2005,country,pop
70108,e77b390101fe12212155793e5ae19c9210ace3c5,487906,8179f407e9fa9be56854bfeb908e9a51bd3f75cb,2,0.9948742345420958,The General Lee,See You Later,Johnny Cash,Gucci Mane & Young Thug,1981,2014,country,rap
70108,e77b390101fe12212155793e5ae19c9210ace3c5,305909,f6a7f545d5e6e06c34ecc155d5f1e473aa8e6171,3,0.9966576066734762,The General Lee,The Godfather Scene 2,Johnny Cash,Francis Ford Coppola,1981,1972,country,misc
70108,e77b390101fe12212155793e5ae19c9210ace3c5,116067,ddc1e40c7226f020a7fa1f98394263e45f1ec34a,4,0.9960642624784801,The General Lee,So Long  Thanks For All The Fish,Johnny Cash,Joby Talbot,1981,2005,country,pop
70108,e77b390101fe12212155793e5ae19c9210ace3c5,275683,6d5275772c10d6a68510dd2b81f05ebc13504359,5,0.9968585655371964,The General Lee,Somalia Toso,Johnny Cash,Ilyas Mao,1981,2019,country,pop
70108,e77b390101fe12212155793e5ae19c9210ace3c5,460254,8cd13b4cf311635e1633e60433576c51f5bbc04f,6,0.9987543314678058,The General Lee,MIKE TYSON,Johnny Cash,C.M.L.,1981,2018,country,rap
70108,e77b390101fe12212155793e5ae19c9210ace3c5,377408,9f4ce7994c14dfdfda6b3d6a312c78c761369402,7,0.994654735272297,The General Lee,Looking Back,Johnny Cash,Rascal Flatts,1981,2020,country,country
70108,e77b390101fe12212155793e5ae19c9210ace3c5,342130,f91ed52d906388b04554f2ba5245a499c305f54f,8,0.9961550635051667,The General Lee,Judas The Rat - 4936375,Johnny Cash,Vector,1981,2019,country,rap
70108,e77b390101fe12212155793e5ae19c9210ace3c5,458842,cdbb0a1639fd89a28f9ae7de1ae54366d426f56c,9,0.9990479759095197,The General Lee,This One Goes Out To...,Johnny Cash,Catch 22,1981,1998,country,rock
70108,e77b390101fe12212155793e5ae19c9210ace3c5,43735,b9012a91a191771ce6a46c0872104bc8ac694dd3,10,0.9989061072171206,The General Lee,Don Francisco,Johnny Cash,Bodega Bamz,1981,2012,country,rap
70108,e77b390101fe12212155793e5ae19c9210ace3c5,318676,589e5dc5cc17c42f7444680271836254b9f57c04,11,0.9988074729769385,The General Lee,Where You Wanna Be,Johnny Cash,Brandy,1981,2004,country,rb
70108,e77b390101fe12212155793e5ae19c9210ace3c5,55160,558f993a35719b94ba4698279c3ea860da4988d6,12,0.9987634488531854,The General Lee,Astronomical,Johnny Cash,Travis Scott,1981,2020,country,rap
