metric,k,mean,std,n
recall,5,1.3333925500436175e-05,2.0888158594754378e-05,800
ndcg,5,0.25932889677000515,0.287524971381494,800
ec,5,0.9819775353360647,0.11057358212393956,800
ild,5,0.017988532450369365,0.07366327900897084,800
recall,10,2.7028746384554513e-05,3.61502994286557e-05,800
ndcg,10,0.262365070734214,0.2610705000302282,800
ec,10,0.9828645768384813,0.11064215204557129,800
ild,10,0.015291608619102176,0.061430973094108964,800
recall,20,5.452542273832393e-05,5.7261062439753935e-05,800
ndcg,20,0.2655732901741706,0.2467254334649117,800
ec,20,0.9839905397978587,0.11074466561737548,800
ild,20,0.012587267549718386,0.05058448828694723,800
