metric,k,mean,std,n
recall,5,1.6680421456753543e-05,3.8944580740496184e-05,100
ndcg,5,0.21788814504669374,0.2897206471534614,100
ec,5,0.8201401454897195,0.09655320200422249,100
ild,5,0.48680094288662074,0.3045735263120584,100
recall,10,5.345497689997948e-05,0.00021919032350309068,100
ndcg,10,0.2278255024420681,0.27394415679105805,100
ec,10,0.823163761298959,0.08431839708824768,100
ild,10,0.4677828375203535,0.290373339946456,100
recall,20,9.707019245757294e-05,0.00023220542072748866,100
ndcg,20,0.23385858115738922,0.26383823301011866,100
ec,20,0.8266710090142609,0.07766528124404574,100
ild,20,0.44042897392180747,0.2775600525879968,100
