metric,k,mean,std,n
recall,5,9.101106493504864e-05,0.0006543856129976926,100
ndcg,5,0.19033368102677173,0.22347095548744111,100
ec,5,0.0,0.0,100
ild,5,0.5576125379944559,0.19600876240089773,100
recall,10,0.00014835161410118355,0.0010863681606230436,100
ndcg,10,0.18162234795701038,0.21026615810850235,100
ec,10,0.0,0.0,100
ild,10,0.5455270283150799,0.14190376483421774,100
recall,20,0.00019854895014071307,0.0013010480992403362,100
ndcg,20,0.18442416521756588,0.20393933981647092,100
ec,20,0.0,0.0,100
ild,20,0.5264136086610081,0.10094886030765121,100
