metric,k,mean,std,n
recall,5,1.637893695853392e-05,3.1895787357632725e-05,100
ndcg,5,0.18494051830084185,0.20702955740780826,100
ec,5,0.6297672093198723,0.13685189648206897,100
ild,5,0.6839691278799637,0.08038791350007939,100
recall,10,3.44124331418393e-05,6.012171634434333e-05,100
ndcg,10,0.17491227406657903,0.17579836777780508,100
ec,10,0.6233323070415231,0.1143854712559356,100
ild,10,0.6632967994047726,0.07866736966116475,100
recall,20,6.174236458111993e-05,0.00010934534001146719,100
ndcg,20,0.16324324193281814,0.16486402197257488,100
ec,20,0.6447105239755127,0.10320731291753657,100
ild,20,0.6239107646927614,0.07401944574802846,100
