metric,k,mean,std,n
recall,5,2.6090075895010812e-05,8.492220334067067e-05,800
ndcg,5,0.36794010180821374,0.3204288031405739,800
ec,5,0.9556360019517541,0.08917563959471914,800
ild,5,0.07256853635493415,0.1086938160530369,800
recall,10,5.207777016789192e-05,0.00016497743998724566,800
ndcg,10,0.3680384834223267,0.2962722428182349,800
ec,10,0.9559809784082225,0.08926337390798735,800
ild,10,0.06769098194880885,0.1011792102708753,800
recall,20,9.833730863706095e-05,0.0002494448761741924,800
ndcg,20,0.3658368092844708,0.2829105103986981,800
ec,20,0.9571716795866686,0.08651189660883574,800
ild,20,0.06359605511885763,0.09644179953655795,800
