metric,k,mean,std,n
recall,5,9.071125255978906e-05,0.0004427593297392036,100
ndcg,5,0.335794592211861,0.31564604997631557,100
ec,5,0.9399115046155877,0.03813531963232277,100
ild,5,0.08895282607714396,0.05722250169622589,100
recall,10,0.00018477623504520552,0.0010849814812609153,100
ndcg,10,0.3288308453472065,0.2969308412461009,100
ec,10,0.939271074015536,0.03449229748035757,100
ild,10,0.08490579324816594,0.047173162924332816,100
recall,20,0.0002710202534984725,0.0015149585668278703,100
ndcg,20,0.3151193792130643,0.29184885581937264,100
ec,20,0.9359920841632811,0.0359407493202597,100
ild,20,0.08484549324125638,0.043177868656855065,100
