metric,k,mean,std,n
recall,5,8.843477443377847e-05,0.0004427180491953314,100
ndcg,5,0.3340866238874072,0.3213282468881521,100
ec,5,0.9385430121433752,0.03717428275391732,100
ild,5,0.09059814315414667,0.055122737984079344,100
recall,10,0.0001789082015501142,0.001085101149966233,100
ndcg,10,0.32704463065187084,0.3017809239704737,100
ec,10,0.9376381990958984,0.0350789623937307,100
ild,10,0.08667011418955006,0.04657456475812304,100
recall,20,0.00026808215079463535,0.001515138541924703,100
ndcg,20,0.314209390887329,0.29476945781115765,100
ec,20,0.9357720408697244,0.03593279780347436,100
ild,20,0.08482544865987833,0.041140800352974474,100
