metric,k,mean,std,n
recall,5,3.78611206071108e-05,0.00020481516365759936,500
ndcg,5,0.351209968765522,0.3228075597295579,500
ec,5,0.9409692167014574,0.044479063508012257,500
ild,5,0.0876877918331098,0.0604455252756686,500
recall,10,7.52455216859816e-05,0.0004938888752960464,500
ndcg,10,0.3541748033126871,0.30010459295518577,500
ec,10,0.9404899364885012,0.04253086741454407,500
ild,10,0.08306323003764965,0.051957874217626494,500
recall,20,0.00012935312666362086,0.0006960352382536328,500
ndcg,20,0.3501204439813968,0.28861104219238076,500
ec,20,0.9398486653952599,0.04171066902281032,500
ild,20,0.08056773562983757,0.04789433209180672,500
